[19:20:27] - INFO: Updating RPC with NVIDIA GeForce RTX 2060 | RAM: 8.6G/15.9G, AMD Ryzen 5 3600 6-Core Processor              , Base
[19:20:29] - INFO: Updating RPC with NVIDIA GeForce RTX 2060 | RAM: 8.6G/15.9G, AMD Ryzen 5 3600 6-Core Processor              , Base
[19:20:30] - INFO: Updating RPC with NVIDIA GeForce RTX 2060 | RAM: 8.6G/15.9G, AMD Ryzen 5 3600 6-Core Processor              , Base
[19:20:30] - INFO: Updating RPC with Glass Animals, Heat Waves 1:29/3:30, YouTube Music
[19:20:30] - INFO: Updating RPC with Glass Animals, Heat Waves 1:29/3:30, YouTube Music
[19:20:31] - INFO: Updating RPC with Glass Animals, Heat Waves 1:30/3:30, YouTube Music
[19:20:31] - INFO: Updating RPC with Glass Animals, Heat Waves 1:30/3:30, YouTube Music
[19:20:31] - INFO: Updating RPC with Glass Animals, Heat Waves 1:30/3:30, YouTube Music
[19:20:32] - INFO: Updating RPC with Glass Animals, Heat Waves 1:30/3:30, YouTube Music
[19:20:32] - INFO: Updating RPC with Glass Animals, Heat Waves 1:31/3:40, YouTube Music
[19:20:32] - INFO: Updating RPC with Glass Animals, Heat Waves 1:31/3:40, YouTube Music
[19:20:32] - INFO: Updating RPC with Glass Animals, Heat Waves 1:31/3:40, YouTube Music
[19:20:33] - INFO: Updating RPC with Glass Animals, Heat Waves 1:31/3:40, YouTube Music
[19:20:33] - INFO: Updating RPC with Glass Animals, Heat Waves 1:32/3:40, YouTube Music
[19:20:33] - INFO: Updating RPC with Glass Animals, Heat Waves 1:32/3:40, YouTube Music
[19:20:33] - INFO: Updating RPC with Glass Animals, Heat Waves 1:32/3:40, YouTube Music
[19:20:34] - INFO: Updating RPC with Glass Animals, Heat Waves 1:32/3:40, YouTube Music
[19:20:34] - INFO: Updating RPC with Glass Animals, Heat Waves 1:33/3:40, YouTube Music
[19:20:34] - INFO: Updating RPC with Glass Animals, Heat Waves 1:33/3:40, YouTube Music
[19:20:34] - INFO: Updating RPC with Glass Animals, Heat Waves 1:33/3:40, YouTube Music
[19:20:35] - INFO: Updating RPC with Glass Animals, Heat Waves 1:34/3:40, YouTube Music
[19:20:35] - INFO: Updating RPC with Glass Animals, Heat Waves 1:34/3:40, YouTube Music
[19:20:35] - INFO: Updating RPC with Glass Animals, Heat Waves 1:34/3:40, YouTube Music
[19:20:35] - INFO: Updating RPC with Glass Animals, Heat Waves 1:34/3:40, YouTube Music
[19:20:36] - INFO: Updating RPC with Glass Animals, Heat Waves 1:35/3:40, YouTube Music
